id,text,target,stance,sarcasm,sentiment,datetime
10,  ان شاء الله كل الجهات بتتطور وتتحسن وتتبنى التحول الالكتروني وتسهيل الاجراءات 😀👍,Digital Transformation,Favor,No,Neutral,2022-03-15 07:35:40+00:00
11,يوم تمكين المراة ...💓2021,Women empowerment,Favor,No,Positive,2021-03-08 21:57:26+00:00
12,  بارك الله في جهودك مسؤولة التحول الرقمي بثينه وزادك الله من فضلة إذاعات وتفعيل رائع جدا للتحول الرقمي الله يوفقك ويبارك في عملك🌷,Digital Transformation,Favor,No,Positive,2019-10-28 17:29:20+00:00
13,#نعم_للتطعيم  باذن الله تطعيم سليم وباذن الله ازمه كورونا بوادر  الانتهاء بظل وجود علاج ..  طعموا ... لاجل اهلكم ووطنكم ولوصول مناعه مجتمعيه وعوده لحياه الطبيعه .. شكرا دكتور الله يجزك خير  MENTION URL,Covid Vaccine,Favor,No,Positive,2021-06-09 06:10:30+00:00
14,     اليوم بفضل الله السعوديه من افضل خمسة دول في العالم في التحول الرقمي والذكاء الاصطناعي والمواطن والمقيم في السعودية بضغطة زر وهوا في بيته بيعمل كل الخدمات وانت خليك صف سرا طول النهار ع,Digital Transformation,Favor,No,Negative,2021-04-27 16:17:49+00:00
15,شخصين توفاهم الله من تطعيم #كورونا والتفاصيل هنا ؛ يارب اللهم استر URL,Covid Vaccine,Against,No,Negative,2020-12-09 21:09:37+00:00
16,MENTION الحقيقة اللي مايبي يطعم هذا راجع له  وعن نفسي انتظر منهم البدأ لأخذ الجرعة الثالثة التنشيطية.,Covid Vaccine,Favor,No,Neutral,2021-09-09 17:54:52+00:00
17, السلام ورحمة الله وبركاته  كيف اقدر اتحقق من صحة شهادة تطعيم كورونا,Covid Vaccine,Favor,No,Neutral,2022-03-29 16:24:34+00:00
18,اصراركم العجيب و المريب في تطعيم أطفال لم تأثر بهم كورونا و لم يتوفى طفل منه او حتى يدخل العناية المركزة شيء ينافي العقل و المنطق!! لا يحتاجون الى كمامات و لا يحتاجون تباعدكم! الحمد لله منذُ بداية الجائحة و لمدة سنتان اختلطوا و لم نرى اصابات او نقل عدوى #لا_للتطعيم_الاجباري173,Covid Vaccine,Against,No,Neutral,2021-11-01 05:01:16+00:00
19,#عاجل التعليم العالي |  لا عودة عن التعليم الوجاهي للجامعات  ولا صحة لما يتم تداوله عن التحول للتعليم الإلكتروني. #أحمد_يحيى,Digital Transformation,None,No,Neutral,2021-11-16 16:20:13+00:00
20,MENTION MENTION اعداد المسجلين في زيادة ودة شي ايجابى زيادة وعى ألناس بخطورة فيروس كورونا كوفيد 19 اللعين ربنا يستر علينا وعليكم يارب ❤️ نظام التسجيل للحصول على تطعيم كوفيد 19 نظام محترم ياريت كل الامور تمشى كدة فى مصر ♥️♥️,Covid Vaccine,Favor,No,Positive,2021-05-03 14:18:42+00:00
21,MENTION MENTION MENTION و فيروس كورونا خطير و قاتل و تسبب في الوباء و الطريقه الوحيده للسيطره عليه باللقاح و حاليا تم تطعيم مليار و ٧٥٠مليون من العالم,Covid Vaccine,Favor,No,Neutral,2021-05-26 05:59:56+00:00
22,الحمدلله حجزت تطعيم كورونا على يوم الراتب ٢٧ الله يجعله برد وسلام على جسمي ولا يضرني اي شي,Covid Vaccine,Favor,No,Positive,2021-04-25 13:48:15+00:00
23,أخذت قبل قليل الجرعة الثالثة من تطعيم كورونا ولله الحمد والمنة. شكراً لوزارة الصحة. سأطعم للانفلونزا بإذن الله لأستقبل الشتاء بصدر رحب.,Covid Vaccine,Favor,No,Positive,2021-10-20 12:04:47+00:00
24,أهمها تمكين المرأة اقتصاديًا وتدريب مليون سيدة على ريادة الأعمال 👍👍 تعرف على الخطة التنفيذية المقترحة للمشروع القومي لتنمية الأسرة المصرية ⬇ #TeNTV ,Women empowerment,Favor,No,Positive,2021-03-17 16:45:00+00:00
25,حتى نتمكن من بناء مجتمع داعم للتحول الرقمي المنشود وبناء اقتصاد معرفي  ينبغي على المشرّع الدفع نحو بناء بنية أساسية ممكنة لهذا التحول من خلال شبكة اتصالات قوية وتغطية شاملة وفي متناول الجميع. URL URL,Digital Transformation,Favor,No,Positive,2022-02-12 15:16:51+00:00
26,للاسف ، مازالت نبرتكم فيها تمكين للمرأة غصب في غير ماختارها رب العالمين واعطاها من حقوق ، ومازلتي مستمرة بالفاظ غير مناسبة تجاه الرجل والقبيلة.  ماتشجعون عليه خروج المرأة من عباءة الدين والاسلام والعقيدة الصحيحه النقية التقية إلى هواء الغرب وهمجيته.  الدين أعطى المرأة كل الحقوق ,Women empowerment,Against,No,Negative,2021-03-09 03:53:11+00:00
27,اخدت اخيرا تطعيم كورونا …يارب بالشفاء جميعا لينا ..وينتهي عصر الكورنا المرض اللعين 🙏,Covid Vaccine,Favor,No,Positive,2021-09-11 18:49:41+00:00
28, اولا مستحيل تاخد فيروس كورونا من التطعيم و خاصة سينوفارم. ثانيا التطعيم (حتى فايزر) يقلل فقط نسبة حدوث مضاعفات و دخول مستشفي بنسبة ٩٠٪ فى حالة فايزر. لا يمنع اى تطعيم الاصابة بالفيروس او نقله. حرام عليكم كده,Covid Vaccine,Favor,No,Neutral,2021-04-24 08:22:03+00:00
29, اتوقع المناخ متاح اللحين بشكل كبير بعد تمكين المرأة والقرارت الاخيرة  لكن الثقافة العامة استطيع اقول بثقة ان الغالبية غير مقبول عندهم الموضوع يحتاج وقت وثقة في بناتهم وعيالهم,Women empowerment,Favor,No,Neutral,2021-01-26 07:33:12+00:00
30,التطعيم امر واجب و اي حد بيفكر في نظرية مؤامرة في رأيي انه يعتبر قتل مع سبق الاسرار و الترصد بفكره للبشر إللي بتقرا كلامه #تطعيم_كورونا,Covid Vaccine,Favor,No,Neutral,2021-04-25 00:43:51+00:00
31, بركات تمكين المرأة,Women empowerment,Against,No,Neutral,2022-05-13 10:16:13+00:00
32,الكل يتحدث عن إيجابيات التحول الرقمي .. وسائل التواصل الإجتماعي .. لكن كما لكل شيء ضريبة .. ضريبة التطور التقني مزيد من الإنعزال عن التواصل البشري المحسوس .. انحدار القدرات التعبيرية وتمزيق الوقت بين براثن السطحية .. و بالطبع طلابنا ونحن جميعا لسنا استثناء عن هذا العالم .. URL,Digital Transformation,None,Yes,Neutral,2019-07-30 00:42:01+00:00
33, ااااه يا الشيبة خلفان حتى التحول الالكتروني ما فالحين فيه   المشوار طويل,Digital Transformation,Favor,No,Negative,2021-05-01 19:28:04+00:00
34,MENTION اللقاح يحمي ولكن ليس ١٠٠٪ لذلك على الناس اخذ اللقاح والاستمرار باتباع الاحترازات الصحيه ومن الضروري تنبيه الناس لهذه النقطه حتى لا يتهاونون بعد اخذ اللقاح.وللعلم خالتي توفت من كورونا بالرغم من اخذها جرعتين من تطعيم فايزر  .ومع هذا انا من مؤيدي اللقاح وبشدة لانه الحل الوحيد,Covid Vaccine,Favor,No,Neutral,2021-05-21 16:59:24+00:00
35,افتتاح 44 موقعًا تخزينيًا لـ صوامع القمح بالمنيا ونشر فرق تطعيم كورونا بالبحيرة.. أبرز أخبار المحافظات URL,Covid Vaccine,None,No,Neutral,2022-04-06 10:21:51+00:00
36, تمكين المرأة السعودية للحد اللي وصلنا له اليوم يجعلني فخورة بقيادتي وبوطني اللي ما قصر معنا من بداية التاريخ لليوم,Women empowerment,Favor,No,Positive,2021-02-22 12:53:29+00:00
37, هذا  اخر صيحات تمكين المرأة  !! عجباً لكم يا إ يها المسعؤلين  او المسؤولين     خسارة المناصب !,Women empowerment,Against,No,Negative,2022-05-08 18:47:50+00:00
38,دائمًا وأبدًا التحول التقني مبدعين 💜👏🏻    كل عام وأنا معاكم 🤝 URL,Digital Transformation,Favor,No,Positive,2021-05-09 00:39:16+00:00
39,  السؤال هنا هو ايه المقصود من تمكين المرأة عشان انا حاسس ان دي كلمه حق يراد بيها باطل وحاسس انها مسمار ف نعش الأسر المسلمه,Women empowerment,Against,No,Negative,2021-03-09 10:14:55+00:00
40,#المرآه_السعوديه_قاضيه  فخوره و مبسوطه اني عشت وشفت عصر تمكين المراءه 👍🏻,Women empowerment,Favor,No,Positive,2021-01-15 18:14:25+00:00
41, ههههههههههههههه ماعليك زمن تمكين المرأة ماراح يسوون لك شي 😂,Women empowerment,None,Yes,Neutral,2022-04-09 19:32:46+00:00
42, تطعيم كورونا ، راضيه بأيييي نوع آخده بس أبغى أتطعم 😭💔,Covid Vaccine,Favor,No,Neutral,2021-03-19 20:05:24+00:00
43,في سعينا الحثيث في  وإيماننا الكبير في تمكين المرأة في معظم مناحي الحياة  ومن أجل التعلم والاستكشاف والتطوير المستمر  المرأة في #تريم #حضرموت تدخل  عالم صيانة أجهزة الجوالات.. شكرا لكل شركائنا  و  ,Women empowerment,Favor,No,Positive,2021-10-02 18:38:04+00:00
44,#ليب22 يعتبر هدف الحفاظ على البيئة والمساهمة في نجاحها وبناء مستقبل رقمي ناجح واحد من أهداف مؤتمر التحول التقني LEAP اللي تستضيفه السعودية خلال هذي الايام في فبراير,Digital Transformation,Favor,No,Positive,2022-02-03 13:29:22+00:00
45,  لان ثقافة الشراء من الانترنت جديدة وفترة كورونا  ساعدة على التحول ومع فرض  الدفع الإلكتروني صار في وعي عند الكثير والان الاغلب  حريص على الدفع  الإلكتروني,Digital Transformation,Favor,No,Neutral,2020-07-08 10:24:54+00:00
46, الحمدالله على نعمه ابشر. ونعمه التحول الالكتروني.,Digital Transformation,Favor,No,Positive,2020-12-22 14:31:13+00:00
47,لاتتركوا كبار السن يعرضون حياتهم للخطر بسبب خوفهم ، اللقاح عبارة عن تطعيم باذن الله سيحفظ حياتهم وان أصيبوا سيكون الامر بردا وسلاما ، أحدثكم عن تجربة شخصية لذلك احرصوا للحفاظ على أرواحهم باذنه تعالى ..#اخذت_جرعه_لقاح_ولا_باقي,Covid Vaccine,Favor,No,Neutral,2021-04-25 14:35:57+00:00
48,واجب شرعي على الانسان تجاه نفسه أن يتخلص من العلاقات التي تؤدي به إلى التهلكة ولو بطريقة تدريجية  ، ولو بطريقة ماكرة والعياذُ بالله   #حقوق_المرأة #حقوق_الإنسان #ايش_يزعلكم #حقوق_الطفل #تمكين_المرأة #حساب_المواطن,Women empowerment,None,No,Neutral,2021-01-03 07:10:19+00:00
49,تمكين المرأة = إذلالها وتسليعها ومساواتها للرجل وجعلها عامل من عوامل قلة الزواج وتكوين الأسرة الصحية وصعوبتهما  يعني يساوونها بالرجل فتذهب الوظائف للنساء فتعنس من النساء بقدر ماتتوظف منهن لأنهن أخذن مكان الرجل القوام الساعي للزواج .. URL,Women empowerment,Against,No,Negative,2022-01-29 21:17:23+00:00
50, ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم  و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,Women empowerment,Against,No,Negative,2022-04-03 19:01:03+00:00
51,في مشاريع التحول  يلزم المزامنة بين  التغيير الثقافي  التغيير الإداري  التغيير التقني  لضمان النجاح بكفاءة عالية,Digital Transformation,Favor,No,Positive,2020-01-02 20:19:31+00:00
52,MENTION لو بنختار بنفسنا كل دوا ناخذه وكل تطعيم عيل لازم الكل يدرس ويختص بكل تخصصات الطب عشان يفهم. احنا ناخذ أدوية ما نعرف مكوناتها و تطعمنا من صغرنا تطعيمات ماندري شنو اهيا وقفت على تطعيم كورونا؟,Covid Vaccine,Favor,No,Neutral,2021-08-04 22:46:44+00:00
53, ماني فاهمة ليش مافي احترام لوجهات النظر في فرق بين التطعيمات المدروسة واللي بتتاخد من سنين ومجربة انا مع التطعيم للاطفال حتى تطعيم الانفلونزا العادية معاه وبناخده بس هذا لا ما باخده الان الا لما يتجرب سنوات الحمد لله من بداية كورونا ٩ شهور انا ب,Covid Vaccine,Against,No,Neutral,2020-12-05 06:28:09+00:00
54,يا قلبي على تمكين المرأة.. بكى والله 💔💔💔 URL,Women empowerment,Favor,No,Positive,2022-04-19 13:16:36+00:00
55, الإمارات ما سوت كذا ولا قطر ولا الكويت ولا أي دولة فقيرة أو غنية ليش عندنا كذا   ليش تمكين المرأة أصبح أضحكوكة   ليش هالمسؤولين فاغرين محتوى ودراسة وإنتاجية   إهانة المرأة من خوارم المروءة  ,Women empowerment,Favor,No,Negative,2022-05-08 08:36:31+00:00
56,  ردود العقلاء تتطابق في توجهاتها. تمكين المرأة في مجالات لاتتناسب مع طبيعتها وتهميش الرجل المسؤول عن القوامة وفتح البيوت لا يقبله عقل أو منطق. كيف سيتم بناء الاُسر اذا زوج المستقبل والزوج الحالي عاطل عن العمل بسبب تمكين المرأة في مجالات,Women empowerment,Against,No,Negative,2021-03-08 18:24:09+00:00
57,هناك مقولة للدكتورة موزة غباش:      المرأة تمكنت حتى تمردت و ايضا قالت بسبب زيادة جرعة تمكين المرأة اصبحت متمردة على منظومة القيم.  و تطالب الدكتورة بأن نقوم بدراسة شاملة لنرى سلبيات مشروع تمكين المرأة و مدى الضرر الذي اصاب الاسرة بسبب غياب الركن الرئيسي فيها.  ولنا في غيرنا عبرة ,Women empowerment,Against,No,Negative,2021-04-04 19:31:59+00:00
58,اجرت سعادة/ نبيلة الشامسي سفير الدولة ، لقاءا مثمرا مع فخامة/ عاطيفات يحياغا ، رئيسة جمهورية السابقة، حيث استعرضت مع فخامتها التعاون في مجال تمكين المرأة وبحث سبل تنميتها وتطويرها في جمهورية كوسوفو. ,Women empowerment,Favor,No,Neutral,2021-02-04 17:44:11+00:00
59,#لا_للتطعيم_الاجباري #لا_للتطعيم_الاجباري194 #لا_لتطعيم_الاطفال #لا_لجواز_التلقيح #أطفالنا_خط_أحمر #الجرعة_التنشيطية 👈🏻جرعة الموت URL,Covid Vaccine,Against,No,Negative,2021-11-23 04:04:52+00:00
60,  وعند التحول الرقمي يجب ان تتم المعامله باسرع وقت وياتيك الرد باسرع وقت وليس تذهب رقمي وينقلها موظف في ملف اكسل وتنتظر ٣ ايام وانته وحظك مثل ما صاير في احدى الاماكن,Digital Transformation,Favor,No,Positive,2021-04-18 20:12:52+00:00
61,أشارك بصوتي في دعم أهمية تمكين المرأة السعودية وعلى ضرورة تكافؤ الفرص بين الرجل والمرأة بطريقة تتناسب مع مبادئنا وقيمنا الاجتماعية والأخلاقية .  #اعتمدي_علي  ,Women empowerment,Favor,No,Positive,2021-03-08 20:06:18+00:00
62,علما بأن جرعة تطعيم كورونا تمت بالمجان ودون مقابل  نشكر الدوله وعلي رأسها السيده رئيس الجمهوريه ووزيرة الصحه وكل من كان له دور فيه,Covid Vaccine,Favor,No,Positive,2021-04-06 10:59:05+00:00
63,MENTION اولا واخيرا   نحمد الله على عودة الحياة لطبيعتها ونشكر ايضا القيادة العظيمة على كل ما بذلت من حماية المواطن والمقيم بعد الله وكل من ساهم في تطعيم ضد كورونا وكل الشكر للأبطال الذين ساهموا ايضا وكان الجزء الكبير في تطعيم ضد كورونا,Covid Vaccine,Favor,No,Positive,2021-10-17 01:48:35+00:00
64,".  كن غَالبيّةُ هذهِ الحُقوق خُصوصًا ما يُسمى "" تمكينُ المرأة"" ليسَ على ضَابطِ حفظهَا وَصونها، فحقوق المرأة أن تحفظَ كرامتها لا أن تستخدمَ قيمتها وجسدها، لكنّها ومن المُؤسف أنّهُ يُسْرعُ استغفالهَا سَواء بدعوى الاحتياج أو بِدعوى التهوين والتطبيع على انسلاخهَا من هويّتها،   +",Women empowerment,None,No,Negative,2021-04-20 21:16:43+00:00
65, الناس اللي بتحكي اللقاح مؤامرة ورح يموتو لو اخدوه ، يعني خايفين يموتو من اللقاح ومس هايفين يموتو من الفايروس!، بعد لقاح زي اي تطعيم كنا ناخده واحنا صغار ضد الامراض ، الله يهديهم اللي بفكرو غلط,Covid Vaccine,Favor,Yes,Positive,2021-04-02 18:46:17+00:00
66,MENTION طبعا خبر مفرح أن تبدأ مرحلة تطعيم طلبة المدارس   فهذا الأمر كنا نفكر فيه منذ بداية أزمة كورونا  ونأمل قريبا أن  تبدأ حملة تطعيم الأطفال من سن 3 ــ 11,Covid Vaccine,Favor,No,Positive,2021-08-03 06:01:14+00:00
67, تركت خدمة زوجها وراحت تشتغل قهوجية وسفرجية للغرباء  .. الحمد لله الذي عافانا مما أبتلاهن .. صدّقن خرابيط تمكين المرأة والنهاية غسيل سيارات وقهوجيات  هذه نهاية من يطيع النسويات والمغرر بهن ,Women empowerment,Against,Yes,Negative,2021-10-02 12:14:36+00:00
68,أثبت #التحول_الرقمي في المجال الصحي فعالية نوعية من حيث تحسين تجربة الخدمات المقدمة للمرضى  حيث يتم تسخير التقنية لتقديم رعاية طبية عن بعد  مما جعل تجار التجزئة الصحية بدورهم أن يتجهوا لـ #التحول_التقني لتقديم خدماتهم للمستهلك بشكل أكثر فعالية في ظل الأوضاع الراهنة,Digital Transformation,Favor,No,Negative,2021-11-02 08:02:13+00:00
69,#القبض_علي_مدعيه_النبوه كانها تحمست مررررررره🙆🏻‍♀️ فاهمه تمكين المرأة غلط ياغاده نبيه مره وحده🤦🏻‍♀️😂,Women empowerment,None,Yes,Neutral,2021-10-02 18:54:27+00:00
70,قمت اليوم بعمل تطعيم لقاح كوفيد ١٩   ولله الحمد والمنه والشكر له سبحانه جل في علاه ثم ولاة امرنا حفظهم الله تعالى   تنظيم اكثر من رائع   و عمل في غاية الاتقان   شاهدت جنسيات من مختلف البلدان اتو لأخذ التطعيم وبالمجان   عمار يا وطني يالسعوديه,Covid Vaccine,Favor,No,Positive,2021-01-02 15:24:07+00:00
71,خمس سنوات من الإنجازات خمس سنوات من العطاء والنهضه على كافة المستويات،حتى أصبحت مملكتنا الحبيبة نموذجا للدولة الحديثة على جميع الأصعدة، ولاسيما تمكين المرأة ودعمها، كل هذا بفضل الله ثم بفضل الملك سلمان والقائد الملهم الأمير محمد بن سلمان حفظهم الله.  #رؤية_2030_واقع_يتحقق ,Women empowerment,Favor,No,Positive,2021-04-25 23:14:27+00:00
72,عز الله يعزك يا #خادم_الحرمين_الشريفين   القول الفصل في #تمكين_المرأة ,Women empowerment,Favor,No,Positive,2020-10-21 22:02:40+00:00
73,نحن في عصر تمكين المرأة ووجود هذه المراكز يدعمها كثيرا لتحقق التوازن بين كونها عضو فعال في بناء الوطن وبين كونها ام للجيل القادم  نتمنى ان يتم اعفاء الضرائب عن هذه المراكز لما في ذلك من اعانة للمرأة العاملة   #نناشد_الدعم_الوزاري_لمراكز_ضيافات_الاطفال_بالمملكه,Women empowerment,Favor,No,Positive,2022-02-09 09:02:02+00:00
74,جانب من مشاركتي إدارة جلسة دور الإعلام في تمكين المرأة وملامح من الخطة الخمسية العاشرة بجمعية المرأة العُمانية في صور وتنظمها جمعية الصحفيين العمانية بالتعاون مع وزارة الاقتصاد ..     #مساء_الخير ,Women empowerment,Favor,No,Neutral,2021-01-26 11:11:25+00:00
75, بالفعل تمكين المرأة اصبح واقعا ملموسا ولله الحمد,Women empowerment,Favor,No,Positive,2021-02-24 19:46:55+00:00
76,انتهيت للتو من تطعيم الجرعة الثانيه من التطعيم ضد كورونا  بس كاني مشتهي اكل خفاش   وين يبيعونه بالكويت ؟,Covid Vaccine,None,No,Neutral,2021-01-25 06:35:25+00:00
77,حقيقة وزارة العدل تقوم بخطوات جباره نحو التحول الالكتروني والاستفادة الكبرى منه بدل المراجعات والمواعيد والزحمه عشان امور ميسره .  التقنيه خدمتنا كثير والمفروض كل الوزارات تتحول الكترونياً ومحد يراجع الا على شأن كبير .  تحية للوزير وللعاملين بالوزارة .  ,Digital Transformation,Favor,No,Positive,2022-04-03 16:42:35+00:00
78,#تمكين_المرأة جميل 👌💯. URL,Women empowerment,Favor,No,Positive,2022-05-07 20:45:27+00:00
79,"بالسعودية على مذكرة التفاهم بين منظمة السياحة العالمية ووزارة السياحة لإنشاء أكاديمية دولية بالتعاون مع المنظمة والموافقة على الترتيبات التنظيمية للأكاديمية.  وأضافت أنه في إطار مشروع مركز الصدارة ""centre stage"" جارٍ الإعداد والتنسيق لتنفيذ ورشة عمل تمكين المرأة ""المملكة الأردنية",Women empowerment,Favor,No,Neutral,2022-03-30 16:39:04+00:00
80,لا يجب التأخر في أخذ قرار #التحول_الرقمي في الجهات والمنشآت التي ترغب في البقاء في حلبة المنافسة  #وطن_طموح_وطن_رقمي URL,Digital Transformation,Favor,No,Positive,2020-06-09 09:44:06+00:00
81,  الاراضي البيضاء خير مثال للفرق الي قدمة التحول الالكتروني عن السابق الان المواطن صار يقدر يختار من المشروع و يطلع على المخطط بشكل اسهل,Digital Transformation,Favor,No,Positive,2021-10-03 09:25:54+00:00
82,MENTION مع الأسف صار التطعيم اجباري...والشخص بدون تطعيم كأنه ميت  #كورونا,Covid Vaccine,Against,No,Negative,2021-08-04 08:07:10+00:00
83,اجتزت بحمد الله دورة التحول الرقمي والمستقبل التقني للمدرب م. ناهض الحربي عبر منصة سديم  ⁦ ⁧#خليك_في_البيت⁩ ⁧#كلنا_مسؤول⁩  URL,Digital Transformation,Favor,No,Positive,2020-04-14 09:43:28+00:00
84,اخيرا اخذت تطعيم كورونا 💉.. الحمدلله ♥️,Covid Vaccine,Favor,No,Positive,2021-10-02 20:57:18+00:00
85,    الوطن هو الامان والطمأنينة الوطن هو الحياه والامل الله يحفظ المملكه حكومة وشعبا ويديم نعمة الامن والامان  الإنجازات  تمكين المرأة السعودية في مختلف المجالات  تطور الاقتصاد أدارت المملكة أزمة كورونا بحنكة  ,Women empowerment,Favor,No,Positive,2021-03-18 12:24:31+00:00
86, المفترض المصنع مسؤول عن اتلاف منتجاته. وكذلك الشركات الخاصة .. بإذن الله مع التحول الإلكتروني للدولة سيتم القضاء على ما هو مثل ذلك بتضافر الجهات ذات العلاقة. ولكن لا ننسى التشهير لهؤلاء الحثالة.,Digital Transformation,Favor,No,Positive,2020-06-08 16:21:48+00:00
87,تم تلقي الجرعة الاولى بنجاح ✅🌹 #التطعيم #لقاح_كورونا #لقاح_إكسفورد  #الصحة #كورونا_السعوديه #كوفيد_19 #تطعيم_كورونا #كورونا,Covid Vaccine,Favor,No,Positive,2021-03-28 16:29:46+00:00
88, تمكين المرأة ، واضعاف الرجل اهنيكم الصراحه على المصخره وقلة الحيا,Women empowerment,Against,No,Negative,2020-12-28 16:11:54+00:00
89,   إيرادات الدولة بالخمس سنوات الأخيرة بعد تمكين المرأة تضاعفت والأعتماد على النفط قل  الفلس كان من الرجال الذين خانوا الدولة ونهبوا الأموال وأستقروا بالخارج,Women empowerment,Favor,No,Positive,2021-01-30 11:36:08+00:00
90,بين ايديكم استبان لبحث بعنوان (مدى الوعي الاجتماعي بقيمة عمل المرأة وعلاقته بواقع تمكين المرأة في ظل أهداف التنمية المستدامة. شاركوا ولكم الأجر                                                                                                               URL,Women empowerment,None,No,Neutral,2022-04-04 08:46:30+00:00
91,يشهد العالم أجمعه تحول رقمي في جميع المجالات  فما هو تعريف #التحول_الرقمي🕹؟  -هو التحول الجذري في سلوك العمل وذلك بالاستفادة من التطور التقني🌌,Digital Transformation,Favor,No,Neutral,2021-06-24 10:23:31+00:00
92,تحية إكبار لهذا الرجل و لفرق عمله الذين حملوا على عاتقهم إنقاذ المسيرة التعليمية بتبني عمليات التحول الذكي و التقني بشكل سريع و سلس..   مئات الآلاف من الطلبة و المعلمين و الإداريين يدعمون المنظومة التعليمية عن بعد !   التجربة الأولى ناجحة و بامتياز رغم بعض السلبيات .. URL,Digital Transformation,Favor,No,Negative,2020-03-30 16:30:05+00:00
93,يا ربي تطعيم كورونا مكسر جسمي وموقف دراعي 😪,Covid Vaccine,Against,No,Negative,2022-05-05 23:09:08+00:00
94,نحتاج إلى أن ننتقل من مرحلة (الإبداع في التحليل) إلى (الإبداع في وضع الحلول).  بقاؤنا في مربع (مقاومة التغيير) فشل (غير مبرر).  العالم يتغير ...  معا نحو (وعي مبصر) وليس (جهل أعمى).  #التحول_الرقمي #الإقتصاد_الرقمي #التعليم_الإلكتروني  #١زائد١ #1plus1 #أشرف_الأسطل #AshrafAlAstal,Digital Transformation,Favor,No,Neutral,2020-04-04 15:30:37+00:00
95,#الموارد_البشرية بوزارة الداخلية تحرز جائزة التحول الإلكتروني خلال قمة البحرين للمدن الذكية  #قانون #قضاء  #البحرين  URL URL,Digital Transformation,Favor,No,Positive,2021-10-11 06:39:48+00:00
